Country,Year,Transparency of government policy-making.
Denmark,2008,5.816544127999999
Denmark,2009,5.800043659
Denmark,2010,5.627347717
Denmark,2011,5.70008361
Denmark,2012,4.665023921
Denmark,2013,4.342791131999999
Denmark,2015,4.491350012
Dominican Republic,2006,3.52173913
Dominican Republic,2007,3.751819738
Dominican Republic,2008,3.896542648
Dominican Republic,2009,4.0148951
Dominican Republic,2010,4.375761468
Dominican Republic,2011,4.452314003
Dominican Republic,2012,4.304833724
Dominican Republic,2013,4.155934124
Dominican Republic,2015,4.169296732
Ecuador,2006,2.643678161
Ecuador,2007,2.738238017
Ecuador,2008,2.927576783
Ecuador,2009,3.357978468
Ecuador,2010,3.726434287
Ecuador,2011,3.9052680889999998
Ecuador,2012,3.9687930000000002
Ecuador,2013,4.101889967
Egypt,2006,3.357142857
Egypt,2007,3.7460342730000002
Egypt,2008,4.091978258999999
Egypt,2009,4.279226895
Egypt,2010,4.2935612999999995
Egypt,2011,3.781846391
Egypt,2012,3.760850865
Egypt,2013,3.909480537
Egypt,2015,3.943265851
El Salvador,2006,4.365384615
El Salvador,2007,4.343578759
El Salvador,2008,4.055528966000001
El Salvador,2009,4.342739765
El Salvador,2010,4.249833421
El Salvador,2011,3.7880707289999997
El Salvador,2012,3.631038063
El Salvador,2013,3.405067223
El Salvador,2015,3.720575775
Estonia,2006,4.841121495
Estonia,2007,4.885426519
Estonia,2008,4.911366903
Estonia,2009,5.193820273
Estonia,2010,5.363008486
Estonia,2011,5.253682733
Estonia,2012,5.120853665
Estonia,2013,5.021570367
Estonia,2015,4.9706409030000005
Ethiopia,2006,3.4819277110000004
Ethiopia,2007,3.726571547
Ethiopia,2008,3.768583477
Ethiopia,2009,3.8017124489999996
Ethiopia,2010,3.947218111
Ethiopia,2011,3.634957894
Ethiopia,2012,3.5399325630000003
Ethiopia,2013,3.488514359
Ethiopia,2015,3.251276463
Finland,2006,5.960784314
Finland,2007,5.828982749
Finland,2008,5.739889924
Finland,2009,5.641161843
Finland,2010,5.638571765
Finland,2011,5.787439028
Finland,2012,6.130991312999999
Finland,2013,6.070317867999999
Finland,2015,5.822778887
France,2006,4.809160305
France,2007,4.932184219
France,2008,4.758419847
France,2009,4.721705173
France,2010,4.941000900000001
France,2011,4.850330797
France,2012,4.615806424
France,2013,4.253207617
France,2015,3.951313761
Gabon,2012,4.727195
Gabon,2013,4.150142895
Gabon,2015,3.7272986880000003
Gambia,2006,4.388059701
Gambia,2007,4.614086242
Gambia,2008,4.963932269
Gambia,2009,5.108764504
Gambia,2010,4.911426248
Gambia,2011,4.722004682
Gambia,2012,4.675630063
Gambia,2013,4.527508733
Gambia,2015,4.449567985
Georgia,2006,3.6
Georgia,2007,3.62364532
Georgia,2008,3.842895372
Georgia,2009,4.559880683
Georgia,2010,4.89329781
Georgia,2011,4.784932602
Georgia,2012,4.78151
Georgia,2013,4.657865973
Georgia,2015,4.69994944
Germany,2006,5.470588235
Germany,2007,5.501040724
Germany,2008,5.004229673
Germany,2009,5.021101578
Germany,2010,5.427208675
Germany,2011,4.970524383
Germany,2012,4.973697799999999
Germany,2013,4.97541321
Germany,2015,4.769866975
Ghana,2008,3.860835
Ghana,2009,3.694173189
Ghana,2010,3.9499654580000003
Ghana,2011,4.180088181
Ghana,2012,4.036539747
Ghana,2013,4.086511583
Ghana,2015,3.894351359
Greece,2006,4.038461538
Greece,2007,3.937577365
Greece,2008,3.638389103
Greece,2009,3.840185333
Greece,2010,4.076196908
Greece,2011,3.776237935
Greece,2012,3.682309755
Greece,2013,3.580387852
Greece,2015,3.3729093939999997
Guatemala,2006,3.652173913
Guatemala,2007,3.957121518
Guatemala,2008,4.147665873
Guatemala,2009,4.3268511830000005
Guatemala,2010,4.578646741
Guatemala,2011,4.512596331
Guatemala,2012,4.703750232
Guatemala,2013,4.542846433
Guatemala,2015,4.406569188
Guinea,2012,3.5907519999999997
Guinea,2013,3.4783724830000002
Guinea,2015,3.0002471539999997
Guyana,2006,3.527472527
Guyana,2007,3.498957582
Guyana,2008,3.724175261
Guyana,2009,3.987780385
Guyana,2010,4.138363591
Guyana,2011,4.106319847
Guyana,2012,4.170012964
Guyana,2013,4.229770341
Guyana,2015,3.784482195
Haiti,2011,2.56283
Haiti,2012,2.622327682
Haiti,2013,2.637117536
Haiti,2015,2.695213503
Honduras,2006,3.24691358
Honduras,2007,4.0274131330000005
Honduras,2008,4.2130057380000006
Honduras,2009,3.9368426
Honduras,2010,4.156491078
Honduras,2011,4.356314871
Honduras,2012,4.1768697260000005
Honduras,2013,3.66080723
Honduras,2015,4.063159224
Hong Kong,2006,5.408450704
Hong Kong,2007,5.672714161
Hong Kong,2008,5.886318141
Hong Kong,2009,5.956075299999999
Hong Kong,2010,6.220263041
Hong Kong,2011,5.909246702999999
Hong Kong,2012,5.8598817379999995
Hong Kong,2013,5.918826287999999
Hong Kong,2015,5.811288518
Hungary,2006,3.9014084510000004
Hungary,2007,3.7086678139999996
Hungary,2008,3.251372983
Hungary,2009,3.532194933
Hungary,2010,4.013445915
Hungary,2011,4.120980321
Hungary,2012,3.75731717
Hungary,2013,3.448520368
Hungary,2015,3.373502386
Iceland,2006,5.8
Iceland,2007,5.615300546
Iceland,2008,5.606402803
Iceland,2009,5.5754782
Iceland,2010,5.30265677
Iceland,2011,5.101912836
Iceland,2012,5.049119852
Iceland,2013,4.880473562
Iceland,2015,4.720978312
India,2006,4.9117647060000005
India,2007,4.420397714
India,2008,4.223706314
India,2009,4.592599487
India,2010,4.695205479
India,2011,4.397496233
India,2012,4.343765438
India,2013,4.242998462
India,2015,4.012070883
Indonesia,2006,2.491803279
Indonesia,2007,2.534587086
Indonesia,2008,3.153758133
Indonesia,2009,3.949309443
Indonesia,2010,4.069687119
Indonesia,2011,4.058483600000001
Indonesia,2012,4.150773537
Indonesia,2013,4.186438291
Indonesia,2015,4.240037139
Iran,2010,3.566272
Iran,2011,3.527217355
Iran,2012,3.587409422
Iran,2013,3.450241971
Iran,2015,3.244960893
Ireland,2006,5.057142857
Ireland,2007,5.092597403
Ireland,2008,5.226847114
Ireland,2009,5.331235185
Ireland,2010,5.1045329189999995
Ireland,2011,5.012610113
Ireland,2012,4.957782871
Ireland,2013,4.9594414460000005
Ireland,2015,5.072861546
Israel,2006,5.152173913
Israel,2007,5.043998837
Israel,2008,4.641460451
Israel,2009,3.930434775
Israel,2010,4.070523897
Israel,2011,4.604302877
Israel,2012,4.442326595
Israel,2013,4.065584941
Israel,2015,4.028299365
Italy,2006,3.085365854
Italy,2007,3.289487237
Italy,2008,3.389470417
Italy,2009,3.575112437
Italy,2010,3.6569758510000003
Italy,2011,3.21928534
Italy,2012,3.1189974389999997
Italy,2013,3.0261720010000004
Italy,2015,2.536250302
Ivory Coast,2008,4.0943309999999995
Ivory Coast,2009,3.936141195
Ivory Coast,2010,3.763812797
Ivory Coast,2011,3.584826062
Ivory Coast,2012,3.835425789
Ivory Coast,2013,3.9373892489999998
Ivory Coast,2015,3.833647622
Jamaica,2006,4.293478261000001
Jamaica,2007,4.2129410830000005
Jamaica,2008,3.958781477
Jamaica,2009,4.154186108
Jamaica,2010,4.307738123
Jamaica,2011,3.9414745669999998
Jamaica,2012,3.739904363
Jamaica,2013,3.801810094
Jamaica,2015,3.584521642
Japan,2006,5.52
Japan,2007,5.244228521
Japan,2008,5.05379653
Japan,2009,4.769760322
Japan,2010,4.570089792
Japan,2011,4.768358298
Japan,2012,5.094892081
Japan,2013,5.17493877
Japan,2015,5.301864173999999
Jordan,2006,4.289156627
Jordan,2007,4.150608913
Jordan,2008,4.345850203
Jordan,2009,4.6133676569999995
Jordan,2010,4.51997002
Jordan,2011,4.340424625
Jordan,2012,4.426384257
Jordan,2013,4.5307889999999995
Jordan,2015,4.553639775
Kazakhstan,2006,3.663157895
Kazakhstan,2007,3.931584937
Kazakhstan,2008,4.0694406160000005
Kazakhstan,2009,3.990972624
Kazakhstan,2010,4.24480693
Kazakhstan,2011,4.464954
Kazakhstan,2012,4.882669916
Kazakhstan,2013,4.721176343
Kazakhstan,2015,4.455259171
Kenya,2006,3.4921875
Kenya,2007,3.87993716
Kenya,2008,4.084376094
Kenya,2009,3.923996428
Kenya,2010,3.7673544789999998
Kenya,2011,3.793508122
Kenya,2012,3.8357503630000003
Kenya,2013,3.933063109
Kenya,2015,4.104732919
Kuwait,2006,4.361904762
Kuwait,2007,4.225934884
Kuwait,2008,3.7741426760000003
Kuwait,2009,3.5784437330000003
