Country,Year,Transparency of government policy-making.
Romania,2009,3.094977703
Romania,2010,2.910049983
Romania,2011,2.8708333010000002
Romania,2012,3.281522075
Romania,2013,3.6716462539999997
Romania,2015,3.8034970880000003
Russia,2006,2.8617424239999996
Russia,2007,3.057369797
Russia,2008,3.1714242919999998
Russia,2009,3.508213192
Russia,2010,3.845597821
Russia,2011,3.701014828
Russia,2012,3.6350766219999997
Russia,2013,3.7780383289999997
Russia,2015,3.978788525
Rwanda,2010,5.122492
Rwanda,2011,5.3429451189999995
Rwanda,2012,5.506575
Rwanda,2013,5.493782405
Rwanda,2015,5.48642
Saudi Arabia,2007,4.2
Saudi Arabia,2008,4.526625662
Saudi Arabia,2009,4.563597781
Saudi Arabia,2010,4.750248828
Saudi Arabia,2011,4.994339
Saudi Arabia,2012,4.8102617080000005
Saudi Arabia,2013,4.617183676000001
Saudi Arabia,2015,4.460199881
Senegal,2007,3.303797468
Senegal,2008,3.185538244
Senegal,2009,3.396828974
Senegal,2010,3.8809843760000002
Senegal,2011,3.8047402480000003
Senegal,2012,4.117242547
Senegal,2013,4.2061586580000005
Senegal,2015,4.122628703999999
Serbia,2007,3.953488372
Serbia,2008,3.8673525460000002
Serbia,2009,3.960539926
Serbia,2010,3.958114713
Serbia,2011,3.85190234
Serbia,2012,3.771033275
Serbia,2013,3.660654072
Serbia,2015,3.601766908
Seychelles,2012,4.769634
Seychelles,2013,4.349389403
Seychelles,2015,4.09370426
Sierra Leone,2012,3.759389
Sierra Leone,2013,3.7715989999999997
Sierra Leone,2015,3.7630186360000004
Singapore,2006,6.0632911389999995
Singapore,2007,6.108291701000001
Singapore,2008,6.265343232
Singapore,2009,6.284895343
Singapore,2010,6.3227701970000005
Singapore,2011,6.271163393999999
Singapore,2012,6.188757302999999
Singapore,2013,6.1370496889999995
Singapore,2015,6.062917134
Slovakia,2006,4.596774194
Slovakia,2007,4.535580369
Slovakia,2008,4.323796475
Slovakia,2009,4.352000653999999
Slovakia,2010,4.158164643
Slovakia,2011,4.061277757
Slovakia,2012,4.194328177
Slovakia,2013,4.008962938
Slovakia,2015,3.9070693260000002
Slovenia,2006,4.090909091
Slovenia,2007,4.366615306
Slovenia,2008,4.537332143
Slovenia,2009,4.984213965
Slovenia,2010,5.121622274
Slovenia,2011,4.954137
Slovenia,2012,4.738436854
Slovenia,2013,4.356492716
Slovenia,2015,4.157379327
South Africa,2006,4.8684210530000005
South Africa,2007,4.850771666
South Africa,2008,4.908884176
South Africa,2009,5.064772251
South Africa,2010,4.980449299
South Africa,2011,4.83735845
South Africa,2012,4.7943881710000005
South Africa,2013,4.62918998
South Africa,2015,4.481440731
South Korea,2006,3.659793814
South Korea,2007,4.735091441000001
South Korea,2008,4.531307041
South Korea,2009,3.7263507039999997
South Korea,2010,3.7502932110000002
South Korea,2011,3.42304615
South Korea,2012,3.3316100669999997
South Korea,2013,3.395336657
South Korea,2015,3.099452403
Spain,2006,3.897435897
Spain,2007,4.008938245
Spain,2008,3.837362292
Spain,2009,4.019786068
Spain,2010,4.277040652
Spain,2011,4.191743552
Spain,2012,4.196013747
Spain,2013,3.9323042
Spain,2015,3.6184609360000004
Sri Lanka,2006,3.6835443039999998
Sri Lanka,2007,3.959890441
Sri Lanka,2008,3.841230782
Sri Lanka,2009,3.7461445419999997
Sri Lanka,2010,3.839683574
Sri Lanka,2011,4.0980596
Sri Lanka,2012,4.334898
Sri Lanka,2013,4.1224546019999995
Sri Lanka,2015,3.794538764
Suriname,2011,3.635304
Suriname,2012,3.704002724
Suriname,2013,3.482726377
Suriname,2015,3.327225872
Swaziland,2010,4.051551
Swaziland,2011,3.7699697
Swaziland,2012,3.4975242019999997
Swaziland,2013,3.786876447
Swaziland,2015,3.8842654000000003
Sweden,2006,5.470588235
Sweden,2007,5.583533868
Sweden,2008,5.846094099
Sweden,2009,5.96330007
Sweden,2010,5.814009187000001
Sweden,2011,5.754201377999999
Sweden,2012,5.489447424
Sweden,2013,5.4585983570000005
Sweden,2015,5.198348321
Switzerland,2006,5.694444444
Switzerland,2007,5.680189492
Switzerland,2008,5.561199964
Switzerland,2009,5.660841532999999
Switzerland,2010,5.845825293
Switzerland,2011,5.894239516
Switzerland,2012,5.856700152999999
Switzerland,2013,5.680486052999999
Switzerland,2015,5.577851637
Syria,2007,3.231578947
Syria,2008,3.506107585
Syria,2009,3.486040985
Syria,2010,3.295351162
Syria,2011,3.403062463
Taiwan,2006,4.8
Taiwan,2007,4.93530281
Taiwan,2008,4.991402473
Taiwan,2009,5.3424490239999995
Taiwan,2010,5.73226814
Taiwan,2011,5.807490683999999
Taiwan,2012,5.581121672
Taiwan,2013,5.370338631
Taiwan,2015,5.423242057
Tajikistan,2006,3.611111111
Tajikistan,2007,3.56079628
Tajikistan,2008,3.5671319660000003
Tajikistan,2009,3.73440995
Tajikistan,2010,3.927931362
Tajikistan,2011,4.104908255
Tajikistan,2012,4.306993829
Tajikistan,2015,3.702127695
Tanzania,2006,4.908163265
Tanzania,2007,4.6380053839999995
Tanzania,2008,3.979962595
Tanzania,2009,4.039419799999999
Tanzania,2010,4.114270151
Tanzania,2011,4.078364775
Tanzania,2012,3.999249897
Tanzania,2013,3.727941958
Tanzania,2015,3.557899673
Thailand,2006,4.739130435
Thailand,2007,4.581714976000001
Thailand,2008,4.167107873
Thailand,2009,4.24850656
Thailand,2010,4.320874117
Thailand,2011,4.183619796
Thailand,2012,4.045959296
Thailand,2013,3.889987912
Thailand,2015,3.661489801
Timor Leste,2006,2.7941176469999998
Timor Leste,2007,2.589327508
Timor Leste,2008,3.010414941
Timor Leste,2009,3.408800204
Timor Leste,2010,3.407079649
Timor Leste,2011,3.292245675
Timor Leste,2012,3.7396714230000003
Timor Leste,2013,3.411960133
Timor Leste,2015,3.183078562
Trinidad and Tobago,2006,3.9512195119999998
Trinidad and Tobago,2007,4.082908022
Trinidad and Tobago,2008,4.1371446380000005
Trinidad and Tobago,2009,4.182309848
Trinidad and Tobago,2010,4.1686693
Trinidad and Tobago,2011,3.981959505
Trinidad and Tobago,2012,3.945383112
Trinidad and Tobago,2013,3.88983297
Trinidad and Tobago,2015,3.670068148
Tunisia,2006,5.375
Tunisia,2007,5.29168357
Tunisia,2008,5.20377564
Tunisia,2009,5.083152551
Tunisia,2010,5.177729265
Tunisia,2011,4.737676776
Tunisia,2013,3.978189982
Tunisia,2015,3.766736732
Turkey,2006,4.196078431
Turkey,2007,4.137403647
Turkey,2008,3.687747145
Turkey,2009,4.169166625
Turkey,2010,4.5350740389999995
Turkey,2011,4.615077127
Turkey,2012,4.724627287
Turkey,2013,4.5849928030000004
Turkey,2015,4.438707342
Uganda,2006,4.179775281
Uganda,2007,4.025006005
Uganda,2008,3.9349074089999996
Uganda,2009,4.064228364
Uganda,2010,4.291059633
Uganda,2011,4.3718025339999995
Uganda,2012,4.374175877
Uganda,2013,4.06065303
Uganda,2015,3.855983205
Ukraine,2006,3.0509554139999997
Ukraine,2007,3.0505036569999997
Ukraine,2008,3.34474276
Ukraine,2009,3.608979052
Ukraine,2010,3.7016765119999997
Ukraine,2011,3.6713697999999995
Ukraine,2012,3.638442172
Ukraine,2013,3.469353556
Ukraine,2015,3.6378496539999996
United Arab Emirates,2006,5.094117647
United Arab Emirates,2007,5.121250793
United Arab Emirates,2008,5.137456966
United Arab Emirates,2009,5.146799596
United Arab Emirates,2010,4.785862548
United Arab Emirates,2011,4.73712094
United Arab Emirates,2012,5.102376478
United Arab Emirates,2013,5.194513
United Arab Emirates,2015,5.35260389
United Kingdom,2006,5.289855072
United Kingdom,2007,4.994704327
United Kingdom,2008,4.634723108999999
United Kingdom,2009,4.643199762
United Kingdom,2010,4.866534215
United Kingdom,2011,5.163411308
United Kingdom,2012,5.347427892
United Kingdom,2013,5.253760932
United Kingdom,2015,5.161606291
United States,2006,4.782222222
United States,2007,4.839210181
United States,2008,4.911062138
United States,2009,4.851880171
United States,2010,4.708117878
United States,2011,4.510722231
United States,2012,4.413949035
United States,2013,4.403809842
United States,2015,4.434974069
Uruguay,2006,3.9305555560000003
Uruguay,2007,4.003156566
Uruguay,2008,4.076764875
Uruguay,2009,4.5013913080000005
Uruguay,2010,4.917566496
Uruguay,2011,5.08542865
Uruguay,2012,4.979790611
Uruguay,2013,4.684201516
Uruguay,2015,4.660847021
Venezuela,2006,2.692307692
Venezuela,2007,2.621641586
Venezuela,2008,2.1372500480000003
Venezuela,2009,2.4302407130000003
Venezuela,2010,2.9507200539999996
Venezuela,2011,3.0576712
Venezuela,2012,2.9571246789999996
Venezuela,2013,2.7167439
Venezuela,2015,2.279819016
Vietnam,2006,3.585185185
Vietnam,2007,3.8125617889999996
Vietnam,2008,4.190429737
Vietnam,2009,4.371581662
Vietnam,2010,4.2535256189999995
Vietnam,2011,3.99776018
Vietnam,2012,3.93123375
Vietnam,2013,3.583681322
Vietnam,2015,3.528616932
Yemen,2011,2.218823
Yemen,2012,3.077643914
Yemen,2013,3.770685572
Yemen,2015,3.676279666
Zambia,2006,5.082474227
Zambia,2007,4.858324182
Zambia,2008,4.72871026
Zambia,2009,4.809402989
Zambia,2010,4.570488573
Zambia,2011,4.498175057
Zambia,2012,4.648990574
Zambia,2013,4.68271155
Zambia,2015,4.478449358
Zimbabwe,2006,3.138888889
Zimbabwe,2007,3.306944444
Zimbabwe,2008,3.489928571
Zimbabwe,2009,3.967228506
Zimbabwe,2010,4.305375423
Zimbabwe,2011,4.1991436669999995
Zimbabwe,2012,4.2819389
Zimbabwe,2013,3.926960727
Zimbabwe,2015,3.53289229
Albania,2006,2.784810127
